"","jours","numPsy","id"
"1",36,0,1
"2",40,4,1
"3",48,8,1
"4",55,9,1
"5",62,29,1
"6",70,41,1
"7",76,69,1
"8",83,89,1
"9",90,46,1
"10",97,47,1
"11",104,27,1
"12",111,49,1
"13",28,2,3
"14",43,16,3
"15",49,14,3
"16",58,27,3
"17",63,82,3
"18",69,122,3
"19",79,82,3
"20",133,5,3
"21",140,4,3
"22",150,0,3
"23",133,4,4
"24",140,20,4
"25",150,30,4
"26",155,46,4
"27",161,115,4
"28",169,223,4
"29",176,70,4
"30",185,15,4
"31",190,7,4
"32",197,2,4
"33",204,0,4
"34",46,9,5
"35",50,10,5
"36",56,47,5
"37",70,52,5
"38",77,55,5
"39",84,69,5
"40",91,64,5
"41",96,31,5
"42",105,26,5
"43",133,11,5
"44",140,6,5
"45",149,2,5
"46",158,0,5
"47",133,15,6
"48",140,102,6
"49",149,191,6
"50",158,295,6
"51",168,97,6
"52",175,19,6
"53",186,1,6
"54",45,2,7
"55",52,7,7
"56",58,13,7
"57",66,9,7
"58",73,16,7
"59",80,28,7
"60",87,21,7
"61",94,22,7
"62",100,15,7
"63",108,22,7
"64",123,1,7
"65",129,2,7
"66",137,3,7
"67",145,0,7
"68",129,0,8
"69",137,6,8
"70",145,29,8
"71",152,39,8
"72",159,31,8
"73",164,22,8
"74",172,14,8
"75",180,0,8
"76",41,0,9
"77",54,13,9
"78",60,20,9
"79",67,21,9
"80",74,108,9
"81",95,30,9
"82",110,6,9
"83",117,7,9
"84",123,3,9
"85",137,0,9
"86",123,0,10
"87",137,14,10
"88",143,39,10
"89",157,56,10
"90",166,15,10
"91",174,6,10
"92",29,0,11
"93",34,9,11
"94",42,19,11
"95",49,18,11
"96",56,46,11
"97",69,29,11
"98",76,49,11
"99",83,90,11
"100",90,91,11
"101",97,85,11
"102",104,60,11
"103",111,37,11
"104",125,9,11
"105",133,2,11
"106",139,3,11
"107",146,0,11
"108",154,0,11
"109",161,1,11
"110",169,0,11
"111",139,0,12
"112",146,13,12
"113",154,61,12
"114",161,60,12
"115",169,9,12
"116",43,1,13
"117",57,6,13
"118",65,10,13
"119",70,26,13
"120",79,68,13
"121",85,70,13
"122",92,49,13
"123",98,25,13
"124",106,22,13
"125",119,13,13
"126",126,15,13
"127",133,4,13
"128",140,2,13
"129",147,2,13
"130",155,0,13
"131",133,0,14
"132",140,117,14
"133",147,393,14
"134",155,156,14
"135",161,10,14
"136",168,20,14
"137",43,0,15
"138",50,1,15
"139",57,5,15
"140",64,8,15
"141",75,19,15
"142",87,52,15
"143",94,22,15
"144",99,16,15
"145",106,6,15
"146",113,2,15
"147",120,0,15
"148",120,0,16
"149",134,13,16
"150",143,54,16
"151",155,13,16
"152",162,6,16
"153",38,18,17
"154",52,37,17
"155",58,40,17
"156",71,47,17
"157",85,44,17
"158",94,37,17
"159",99,28,17
"160",109,13,17
"161",115,10,17
"162",127,2,17
"163",127,0,18
"164",144,9,18
"165",149,41,18
"166",152,75,18
"167",164,40,18
"168",173,15,18
"169",180,3,18
"170",187,0,18
"171",47,1,19
"172",54,3,19
"173",60,24,19
"174",67,45,19
"175",73,43,19
"176",82,73,19
"177",89,87,19
"178",96,51,19
"179",102,22,19
"180",109,32,19
"181",115,34,19
"182",124,6,19
"183",131,6,19
"184",144,1,19
"185",165,0,19
"186",131,0,20
"187",144,26,20
"188",165,40,20
"189",174,4,20
"190",181,0,20
"191",54,39,21
"192",59,69,21
"193",67,117,21
"194",77,75,21
"195",83,52,21
"196",91,16,21
"197",98,24,21
"198",108,45,21
"199",119,15,21
"200",125,3,21
"201",132,1,21
"202",139,0,21
"203",119,0,22
"204",125,4,22
"205",132,22,22
"206",139,90,22
"207",146,96,22
"208",154,142,22
"209",161,34,22
"210",168,13,22
"211",50,0,23
"212",56,0,23
"213",61,0,23
"214",71,5,23
"215",77,26,23
"216",85,12,23
"217",90,39,23
"218",97,23,23
"219",106,40,23
"220",116,31,23
"221",120,38,23
"222",127,13,23
"223",132,6,23
"224",141,4,23
"225",148,1,23
"226",154,2,23
"227",159,0,23
"228",141,0,24
"229",148,11,24
"230",154,36,24
"231",159,96,24
"232",169,43,24
"233",174,21,24
"234",182,9,24
"235",188,1,24
"236",36,0,25
"237",44,0,25
"238",55,3,25
"239",65,14,25
"240",71,18,25
"241",78,34,25
"242",85,33,25
"243",90,42,25
"244",98,26,25
"245",105,10,25
"246",114,15,25
"247",120,5,25
"248",127,4,25
"249",134,4,25
"250",140,2,25
"251",149,0,25
"252",156,1,25
"253",163,0,25
"254",170,0,25
"255",127,0,26
"256",134,10,26
"257",140,57,26
"258",149,153,26
"259",156,66,26
"260",163,8,26
"261",170,3,26
"262",66,53,27
"263",81,30,27
"264",88,23,27
"265",121,4,27
"266",128,2,27
"267",135,2,27
"268",143,0,27
"269",158,1,27
"270",135,0,28
"271",143,16,28
"272",150,90,28
"273",158,29,28
"274",54,2,29
"275",60,8,29
"276",68,12,29
"277",73,7,29
"278",89,13,29
"279",131,9,30
"280",136,36,30
"281",145,35,30
"282",55,0,31
"283",68,1,31
"284",82,6,31
"285",95,19,31
"286",104,9,31
"287",117,2,31
"288",124,4,31
"289",132,1,31
"290",142,4,31
"291",159,0,31
"292",132,0,32
"293",142,1,32
"294",159,15,32
"295",167,5,32
"296",177,0,32
"297",20,1,33
"298",28,0,33
"299",33,0,33
"300",39,0,33
"301",48,0,33
"302",54,0,33
"303",61,0,33
"304",69,1,33
"305",75,4,33
"306",84,11,33
"307",91,15,33
"308",96,17,33
"309",103,23,33
"310",109,12,33
"311",112,12,33
"312",117,7,33
"313",122,5,33
"314",124,12,33
"315",131,3,33
"316",140,0,33
"317",140,1,34
"318",147,7,34
"319",152,11,34
"320",160,39,34
"321",166,18,34
"322",175,3,34
"323",182,1,34
"324",189,0,34
"325",49,23,35
"326",56,19,35
"327",63,3,35
"328",84,22,35
"329",92,19,35
"330",107,18,35
"331",126,9,35
"332",134,4,35
"333",140,2,35
"334",147,2,35
"335",155,1,35
"336",147,1,36
"337",155,36,36
"338",162,23,36
"339",175,4,36
"340",183,8,36
"341",190,0,36
"342",38,0,39
"343",45,6,39
"344",52,4,39
"345",59,3,39
"346",66,19,39
"347",73,31,39
"348",87,35,39
"349",94,18,39
"350",101,13,39
"351",108,5,39
"352",115,0,39
"353",115,0,40
"354",122,2,40
"355",129,2,40
"356",136,22,40
"357",143,77,40
"358",150,33,40
"359",157,22,40
"360",164,10,40
"361",171,1,40
"362",178,0,40
"363",24,0,41
"364",38,1,41
"365",45,6,41
"366",52,25,41
"367",59,31,41
"368",66,68,41
"369",73,37,41
"370",80,42,41
"371",87,27,41
"372",94,42,41
"373",101,18,41
"374",108,15,41
"375",115,5,41
"376",122,0,41
"377",129,1,42
"378",136,41,42
"379",143,40,42
"380",150,33,42
"381",157,4,42
"382",164,2,42
"383",171,2,42
"384",178,0,42
"385",50,22,43
"386",57,20,43
"387",64,28,43
"388",71,44,43
"389",78,52,43
"390",85,52,43
"391",92,78,43
"392",99,58,43
"393",106,44,43
"394",113,22,43
"395",120,12,43
"396",127,2,43
"397",134,0,43
"398",134,0,44
"399",141,16,44
"400",148,24,44
"401",155,102,44
"402",162,0,44
